Bulk,Shear,Density,CohesionPeak,FrictionPeak,TensionPeak,CohesionResidual,FrictionResidual,eps,Kn_contact,Ks_contact,CohesionPeak_contact,FrictionPeak_contact,TensionPeak_contact,FrictionResidual_contact,PeakUCS,YoungsModulus
60630000000,23730000000,1396.8,92520000,48.41,35300000,68640000,30.98,0.034,147700000000000,73830000000000,32890000,27.93,13290000,17.73,80435400,60044935097.8943
36150000000,23000000000,1617.8,74040000,46.57,33060000,58390000,31.6,0.048,188200000000000,94080000000000,29100000,28.62,12880000,19.44,70973360,54725388736.826
35170000000,23660000000,2463.6,118100000,47.19,26450000,87770000,32.07,0.048,118400000000000,59200000000000,66580000,28.02,25510000,19.13,161398900,52464359081.0396
85870000000,24580000000,2272,66310000,58.28,30760000,51550000,36.12,0.033,139800000000000,69880000000000,61210000,27.29,13540000,16.26,144958800,65531029419.6094
57400000000,38900000000,2512.1,105600000,45.06,24680000,75080000,25.68,0.046,155100000000000,77530000000000,76450000,28.22,16360000,18.26,189696600,83191705453.7791
66280000000,46270000000,2000.6,93660000,50.11,21230000,57970000,34.66,0.027,117700000000000,58830000000000,36040000,31.61,13720000,18.72,90796710,89651598823.9331
80350000000,33320000000,1789,91790000,51.57,24260000,55220000,31.71,0.03,223100000000000,111500000000000,25590000,31.8,17800000,18.91,69174640,83688854383.314
44810000000,19210000000,1830.7,108500000,43.01,34670000,74950000,27.32,0.042,163200000000000,81580000000000,35190000,29.82,15580000,19.97,88697550,50367452249.6653
38990000000,17650000000,3407.4,81330000,48.81,17580000,49220000,30.32,0.044,158800000000000,79420000000000,56730000,28.13,14740000,18.31,133818400,45865067764.2841
29990000000,34790000000,3668.3,119100000,64.15,31090000,88410000,34.85,0.042,104000000000000,52000000000000,53490000,33.72,14600000,22.42,144437300,61778456558.2182
46920000000,41820000000,2293.1,101600000,57.98,32700000,63320000,39.05,0.041,213700000000000,106900000000000,65060000,26.12,21900000,14.22,147868000,86476835029.5745
55440000000,20520000000,3323.3,76570000,53.19,28920000,59830000,35.27,0.032,159500000000000,79740000000000,42980000,29.08,12820000,17.75,105656700,55011247409.4252
45090000000,20210000000,2778.5,96830000,50.32,20040000,71090000,35.13,0.051,243200000000000,121600000000000,63020000,29.36,13970000,17.26,151980700,54083491258.5079
63660000000,35210000000,2970.7,59690000,45.6,20300000,46100000,22.87,0.038,291500000000000,145800000000000,38410000,28.51,11330000,17.12,90744030,86134169199.2461
51110000000,21120000000,4151.6,89030000,51.05,31590000,67570000,33.23,0.035,157800000000000,78920000000000,51950000,33.52,19290000,19.28,141829000,54966171968.8457
74970000000,27180000000,3806,94890000,51.55,27480000,71580000,29.19,0.02,174300000000000,87150000000000,37420000,26.56,20900000,16.36,87524260,71477098583.6243
40200000000,30490000000,1902.9,58040000,54.04,24050000,35140000,33.8,0.04,150000000000000,75020000000000,43120000,22.99,18940000,13.6,91280490,65333826597.934
48050000000,28270000000,3623.3,86570000,54.29,39320000,58870000,35.56,0.031,128100000000000,64040000000000,55100000,37.65,14990000,22.6,158524000,63784679822.082
48950000000,18520000000,2842.2,82420000,52.07,44270000,52690000,32.96,0.031,333300000000000,166700000000000,34600000,28.33,17100000,15.09,80888760,52307560005.8064
